aaa,9960636,6974,108,174
aab,9986643,8485,59,93
aac,9959407,9476,289,557
aad,9745257,8461,19,34
aae,9761983,8994,158,306
aaf,9856525,9153,172,309
aag,9746479,12192,100,247
aba,9544833,8931,21,67
abb,9860567,9316,96,282
abc,9795349,10977,56,229
abd,9793647,9386,265,562
abe,9912592,7628,27,96
abf,9945141,10501,53,192
abg,9970479,9621,84,146
aca,9911958,9807,143,296
acb,9993766,10365,447,964
acc,9847589,9190,519,764
acd,9978925,9604,131,203
ace,9856943,8462,103,274
acf,9794864,7906,73,176
acg,9500015,9252,172,309
ada,9994239,8021,56,98
adb,9994781,9207,66,128
adc,9904615,8594,36,50
add,9363413,11189,14,33
ade,9825987,9351,87,161
adf,9875774,8507,5,8
adg,9892327,9767,163,353
aea,9695950,8470,269,365
aeb,9917744,10080,235,383
aec,9803374,9747,123,192
aed,9769512,10175,180,355
aee,9771858,7840,62,105
aef,9901847,9782,67,248
aeg,9694202,9345,211,402
afa,9945122,7949,56,103
afb,9970808,7670,69,147
afc,9906910,8537,18,59
afd,9873036,8637,47,137
afe,9932069,8853,61,155
aff,9758947,8286,59,178
afg,9950071,7397,157,291
aga,9969609,8446,77,163
agb,9713849,8364,80,238
agc,9941762,8417,208,337
agd,9926685,8021,12,41
age,9982014,8621,9,23
agf,9937830,9402,104,175
agg,9799639,8744,5,6
baa,9944580,8257,75,142
bab,9779600,9309,24,101
bac,9989804,8809,68,124
bad,9968186,7832,187,273
bae,9955648,8905,450,654
baf,9752377,9073,40,115
bag,9949354,7384,115,235
bba,9956519,9462,65,161
bbb,9973524,7805,55,118
bbc,9984857,8733,77,149
bbd,9725424,8183,105,230
bbe,9995769,8984,204,304
bbf,9977728,8674,60,107
bbg,9855933,9575,176,301
bca,9818642,9234,8,23
bcb,9932104,8761,16,43
bcc,9759620,8711,101,169
bcd,9874458,8019,155,211
bce,9997282,8281,130,197
bcf,9992280,8464,64,99
bcg,9678526,8774,40,89
bda,9910600,9369,144,273
bdb,9890927,8350,64,86
bdc,9997217,9442,13,31
bdd,9762448,9081,39,112
bde,9603846,9720,38,82
bdf,9705303,9675,104,168
bdg,9796367,9373,67,185
bea,9505179,8836,19,51
beb,9743775,7441,5,13
bec,9876350,9380,85,186
bed,9998049,9014,67,167
bee,9990947,8254,156,243
bef,9846441,9875,147,254
beg,9995793,9884,131,212
bfa,9911880,9355,165,307
bfb,9886065,8245,285,530
bfc,9991164,10527,264,386
bfd,9944953,9138,70,157
bfe,9855541,6742,73,181
bff,9657191,7786,197,410
bfg,9857154,11549,87,146
bga,9483077,7990,205,283
bgb,9990204,9544,106,189
bgc,9894199,9226,22,46
bgd,9928408,7721,11,20
bge,9979372,8314,92,196
bgf,9994877,7928,93,197
bgg,9719188,9111,209,341
caa,9856433,8920,188,377
cab,9966729,9846,176,484
cac,9626245,7592,210,301
cad,9903513,9078,264,432
cae,9532909,8304,102,201
caf,9776718,9107,192,297
cag,9992028,8138,49,88
cba,9714467,8630,150,283
cbb,9999617,8751,17,42
cbc,9899085,10048,141,305
cbd,9802483,9281,122,295
cbe,9731826,7381,184,413
cbf,9939981,7474,148,250
cbg,9650773,8970,62,226
cca,9667606,7763,121,171
ccb,9807744,9383,22,62
ccc,9612795,7928,61,114
ccd,9994055,8387,309,463
cce,9898184,8504,131,349
ccf,9847755,9952,9,22
ccg,9864061,8959,21,70
cda,9399416,8410,107,217
cdb,9809896,9985,153,276
cdc,9750829,7674,367,734
cdd,9495453,9086,102,204
cde,9493447,10099,195,313
cdf,9945881,8966,154,316
cdg,9918270,7867,331,464
cea,9915505,10150,250,572
ceb,9884801,8242,113,330
cec,9991716,9557,209,369
ced,9883951,7867,33,88
cee,9721761,10115,144,322
cef,9950843,7563,9,30
ceg,9859193,9042,58,192
cfa,9764107,8783,31,73
cfb,9983369,8653,146,223
cfc,9703725,8158,79,240
cfd,9870684,9048,28,61
cfe,9795764,8384,99,192
cff,9910208,9326,160,395
cfg,9857754,9201,9,28
cga,9889577,9942,83,204
cgb,9816728,10323,77,129
cgc,9476787,9287,181,346
cgd,9946375,7354,24,62
cge,9992339,8643,160,270
cgf,9899073,8314,19,33
cgg,9912808,8788,89,162
daa,9854558,8810,47,92
dab,9951002,9017,51,139
dac,9686265,8851,166,295
dad,9777610,9347,68,142
dae,9880006,8737,249,559
daf,9927526,9156,367,743
dag,9443722,8487,116,178
dba,9923030,8874,254,456
dbb,9982277,7389,201,490
dbc,9873057,8025,490,905
dbd,9970558,9064,211,259
dbe,9864003,8292,36,80
dbf,9949168,8555,176,335
dbg,9976953,7595,169,314
dca,9774960,9732,198,348
dcb,9757187,9520,173,299
dcc,9667826,8958,484,875
dcd,9895063,7123,8,34
dce,9944699,8555,24,47
dcf,9937925,8986,205,312
dcg,9994895,10549,39,124
dda,9978221,8867,71,134
ddb,9759374,8053,51,116
ddc,9838279,10384,12,59
ddd,9959126,9284,39,98
dde,9961235,7898,188,370
ddf,9944693,9744,167,382
ddg,9999237,8368,110,259
dea,9998093,10682,162,407
deb,9928868,10563,37,117
dec,9947303,8198,37,72
ded,9934393,7885,147,398
dee,9936940,8374,157,253
def,9391967,10331,125,221
deg,9876176,9218,169,343
dfa,9362948,10783,91,195
dfb,9860590,6905,37,74
dfc,9961353,8336,160,300
dfd,9980634,8773,5,9
dfe,9977013,9665,37,74
dff,9465047,9445,128,292
dfg,9900369,10816,92,156
dga,9802613,9226,108,310
dgb,9929613,8368,206,340
dgc,9999524,9449,151,306
dgd,9727313,10436,110,228
dge,9850851,8453,89,308
dgf,9916443,9792,86,164
dgg,9424840,8980,100,181
eaa,9941751,8423,83,159
eab,9924656,7715,107,215
eac,9633287,8942,45,91
ead,9949629,10295,252,353
eae,9533681,9401,172,303
eaf,9844904,8260,225,328
eag,9742485,9019,8,23
eba,9963899,8198,64,183
ebb,9988566,7695,41,113
ebc,9756242,8116,122,272
ebd,9883962,7112,38,83
ebe,9912775,8143,115,285
ebf,9998208,8548,268,398
ebg,9962939,8806,76,179
eca,9911168,9379,38,87
ecb,9939257,8813,38,65
ecc,9746006,8581,111,187
ecd,9700308,10415,218,329
ece,9904706,10270,48,144
ecf,9804037,8396,259,370
ecg,9989878,8596,68,139
eda,9888688,9774,16,46
edb,9898546,7684,6,17
edc,9826757,9586,6,19
edd,9990611,8356,28,86
ede,9822901,9389,20,63
edf,9776193,9416,150,253
edg,9658523,8846,209,417
eea,9957158,9713,102,184
eeb,9891883,9345,79,238
eec,9652657,9030,600,1097
eed,9742266,8253,154,334
eee,9826049,9201,338,628
eef,9548354,10012,187,300
eeg,9812491,9940,114,189
efa,9787916,9019,94,134
efb,9821296,9493,7,21
efc,9274073,9765,32,174
efd,9788301,9555,87,195
efe,9991432,8229,6,19
eff,9564998,8311,76,213
efg,9985709,9047,90,221
ega,9636969,9567,11,37
egb,9981159,7114,205,379
egc,9738085,7354,5,6
egd,9778740,7610,199,296
ege,9675361,9165,6,15
egf,9957434,8052,96,184
egg,9939955,9049,258,377
faa,9859807,8339,22,72
fab,9835384,10578,218,344
fac,9740581,8122,193,361
fad,9939162,8662,143,250
fae,9868718,11027,66,132
faf,9911434,8439,79,193
fag,9882742,10260,60,183
fba,9734068,9256,146,361
fbb,9670315,9571,137,233
fbc,9567005,8905,29,96
fbd,9960390,6806,62,185
fbe,9920711,8486,69,157
fbf,9967923,8890,128,271
fbg,9911543,9790,287,448
fca,9613483,9319,10,39
fcb,9806758,9458,215,336
fcc,9233996,9181,148,259
fcd,9898903,7278,83,119
fce,9733136,9746,78,131
fcf,9698638,7068,5,8
fcg,9935649,10323,57,111
fda,9975867,8637,93,161
fdb,9964537,8258,50,122
fdc,9938704,8682,87,136
fdd,9817927,11016,61,148
fde,9987693,9419,9,33
fdf,9622745,9252,13,29
fdg,9734846,8174,104,143
fea,9744469,7810,213,333
feb,9908535,9430,116,288
fec,9946135,10462,186,308
fed,9987634,9552,215,472
fee,9858549,7369,89,154
